Intervention name,Year of original assessment,Original CE estimate (x cash),Original reason deprioritized,Likelihood worth revisiting (H/M/L),Updated rough CE estimate (x cash),Confidence in updated estimate (H/M/L),Reason
Selenium supplementation for neonatal sepsis prevention,2021,~5x at $3/infant (pooled RR 0.59); ~25x at $1/infant (Aggarwal-only RR 0.32),Insufficient evidence — only one small LMIC trial (Aggarwal 2016 n=90 India); waiting for Gates-funded research,L,~5x (no material change),L,"No new LMIC trials since Aggarwal 2016 (n=90). The Cochrane review (Darlow 2003 updated) still covers only 3 HIC/LMIC studies. Pooled RR for sepsis episodes is 0.73 (95% CI 0.57-0.93) but not powered for mortality. No WHO recommendation for neonatal selenium supplementation. The Gates-funded research mentioned in the original has not materialized into published results. A 2024 observational study (PMC11626566) confirms association between selenium deficiency and neonatal sepsis but adds no causal evidence. CE at pooled estimate ($3/infant): ~5x. At Aggarwal-only ($1/infant): ~25x but based on n=90 with acknowledged upward biases (excluded early-onset sepsis; used 'sepsis and other infections' from GBD). Evidence base remains too thin to act on."
Radio campaigns for family planning (DMI),2021,2.7–5.3x (across 5 West African expansion countries after IV/EV and leverage adjustments),Below 8x bar; one RCT (Glennerster et al 2021 Burkina Faso); uncertain duration of contraceptive use; low moral weight for CYP (0.67 UoV),L,~3–5x (no material change),L,"CE across West Africa expansion countries: 2.7x (Sierra Leone) to 5.3x (Niger) after 50% IV and 75% EV adjustments plus leverage/funging. Even with optimistic 2-year duration assumption (vs 1.5 years), best case is ~7.1x in Niger — still below 8x bar. GiveWell funded a $500k grant to Family Empowerment Media (FEM) for an RCT in Nigeria (March 2023); trial started mid-2024 but no results yet. DMI scaled to 39 radio stations in Burkina Faso reaching 16.3M people. No new RCTs with results since Glennerster et al 2021. CYP moral weight (0.67 UoV) would need to increase >50% AND cost assumptions would need to improve for CE to approach 8x. FEM RCT results (expected ~2026-2027) could be decision-relevant."
Cleft lip/palate surgery,2021,3x (general) / 9x (severe cases only — low feasibility),Low CE due to high cost ($540/person) and moderate morbidity/consumption effects; GW values mortality prevention more than YLD aversion,L,~3x (no material change),L,"No new RCTs or quasi-experiments since Wydick et al 2020 (n=1118 India). CE at 3x (general) remains well below 8x bar. Severe-only targeting (9x) still faces ethical/reputational barriers — NGOs like Operation Smile/Smile Train unlikely to exclude non-severe cases. A 2023 systematic review (Chung et al) found methodology limitations in existing CLP cost-effectiveness analyses (disability weights skewed to HIC; exclude malnutrition and social stigma). Rural Kenya data suggests surgical costs as low as $201 (vs $540), but this is facility cost only and may not reflect total program costs. GiveWell has not revisited CLP surgery since the 2021 QEA. ~93% of value from YLDs averted — fundamentally limited by GW's relative valuation of morbidity vs mortality."
HIV self-testing,2018,~10x (rough BOTEC excluding ART costs),Uncertain RFMF; rough CEA with key cost exclusions; evidence limited to two Kenya RCTs of self-tests for male partners of pregnant women,L,~5–10x (no material change; space now well-funded),L,"The intervention itself is effective and WHO-recommended (since 2016; updated 2022-23 to include PrEP initiation). Two Kenya RCTs confirmed HIVST roughly doubles testing uptake among male partners. CEA studies in West Africa (ATLAS programme) find $27-126/DALY averted — highly cost-effective. But the space is no longer neglected: PEPFAR Global Fund and UNITAID have massively funded HIVST scale-up through the STAR initiative (2016-2020 6 countries) and beyond. Multiple countries now have national HIVST policies. The original BOTEC's CE of 10x explicitly excluded ART costs ($100-200+/person/year for 18+ years). With ART costs included (even via leverage/funging) CE would be substantially lower. GiveWell's comparative advantage in funding HIVST is limited given massive existing funding flows. Cost per kit distributed: $9-50 depending on population and country."
Non-pneumatic anti-shock garment (NASG),2020,~15x at $8/woman (made-up costs); ~5x at CHAI costs + GBD mortality,Weak evidence (1 underpowered RCT + 5 observational studies); cost per woman highly uncertain; awaiting CHAI cost data,M,~5–15x (strengthened by real-world Zimbabwe results),L,"Pooled non-experimental evidence: RR 0.52 (95% CI 0.36-0.77) for maternal mortality from obstetric hemorrhage. One underpowered cluster-RCT (Miller et al 2013 n=887 15 deaths) found non-significant OR 0.36. Evidence hasn't changed since the original (no new RCTs and authors say an adequately powered RCT is infeasible). However CHAI Zimbabwe pilot (2019-2021) showed real-world promise: NASG used in 90% of potential applications across 34 facilities 50% fewer maternal deaths and zero PPH deaths. Zimbabwe MOHCC has adopted NASG for national rollout. Zambia also scaling (2023 process evaluation published). Device is simple ($75 reusable 72+ times) and WHO-recommended (2012 weak recommendation). Key uncertainties remain: cost per woman ($8 was a guess; CHAI Zimbabwe suggests $750k for national 5-year scale-up). Complements E-MOTIVE PPH bundle (which showed RR 0.40 for severe PPH outcomes NEJM 2023). See writeup."
Adaptive education technology (Mindspark),2020,9–32x (consumption-based; highly dependent on methodology),High uncertainty about long-term consumption estimation from test scores; GW has no consensus methodology for education-to-consumption pathway,L,~5–10x (scale-up shows lower effects but also lower costs),L,"Original CE ranged from 2.2x (Brown methodology) to 9.1x (Evans & Yuan) with potential up to 32x. Scale-up in Rajasthan (J-PAL Year 2 RCT 2019) found somewhat lower effects (0.2 SD in math/Hindi vs 0.37/0.23 in original). However at-scale costs may be dramatically lower: Rs. 130/child/year/subject (~$1.50/year) vs $4/month ($48/year) in original. Net effect on CE is ambiguous. Fundamental issue remains: GiveWell has no consensus methodology for estimating consumption gains from test score improvements. The BOTEC is entirely driven by this uncertain conversion. Cognitive fade-out effects are not modeled. Mindspark operates only in India (15 government schools 6000 students as of 2024-25). No clear pathway to GW funding — education is not GW's primary domain and India is not a priority context. Would require GW to resolve its consumption estimation methodology before this could move forward."
Drowning prevention (community daycare),2020,Breakeven at $2.50/child/year (back-of-envelope only),Waiting for Bloomberg/Johns Hopkins study results; very brief QEA (~45 minutes),L,~0.5x ($17k/life saved vs ~$8k GW bar),M,"The Bloomberg/Johns Hopkins PRECISE study has now been published. The crèche intervention in rural Bangladesh reduced drowning by 89% (higher than the preliminary 70% claim). Cost per child: $16/year — well above the $2.50/year breakeven for GW CE. ICER: $17,008/life saved or $362/DALY averted. By GW standards ($5-8k/life saved at 8x bar) this is ~0.5x cash — far below threshold. Bangladesh government approved $32M 3-year program in February 2022 scaling from 2,500 to 8,000 childcare sites for 200,000 children — reducing neglectedness further. 2024 global scoping review (Frontiers in Public Health) confirms effectiveness of supervision-based interventions but does not identify cheaper delivery models. Secondary benefits (injury prevention cognitive development) exist but are not enough to bridge the CE gap."
Rape/sexual violence prevention (No Means No Worldwide),2019,No CE model produced (moral weight for rape prevention unresolved),Methodological weaknesses in two RCTs (experimenter demand effects school-level analysis not pre-registered); awaiting third RCT; no cost-effectiveness model,L,Not calculable (moral weight issue persists; newer RCT null),L,"A newer cluster-RCT of the IMpower + SOS program in Nairobi informal settlements (2016-2018 published Prevention Science 2023) found NO significant effect on sexual assault (OR 1.21; 95% CI 0.40-5.21 p=0.63). This contradicts the earlier Baiocchi 2016 result (51% decrease) and partially contradicts Decker 2018 (Malawi RR 0.68). The null result validates the methodological concerns flagged in the original QEA — earlier positive findings may have been driven by experimenter demand effects (instructors conducted surveys) and school-level analysis artifacts. GiveWell still has no moral weight for rape/sexual assault prevention making CE comparison to cash transfers impossible. Even if effects were real the program would require GW to establish how to value preventing sexual violence relative to preventing death — a sensitive methodological question the original QEA explicitly deferred. Not worth revisiting given the null third RCT."
Antibiotic treatment of bacterial vaginosis in pregnancy,2019,No BOTEC (antibiotics clear BV but don't prevent preterm birth),Strong BV-PTB association but mass antibiotic treatment doesn't reduce preterm birth (Cochrane RR 0.88 NS); mechanism unclear,L,Not cost-effective (confirmed by new evidence),M,"Two major new publications confirm the original finding. (1) AuTop RCT (JAMA 2023 n=6671 Australia): molecular screening + treatment for BV before 20 weeks found no significant reduction in preterm birth (3.8% vs 4.6% p=NS). (2) Klebanoff 2023 individual participant data meta-analysis: antibiotic treatment of BV does not reduce preterm delivery. A 2025 network meta-analysis found probiotics had the most potential but evidence remains preliminary. One positive signal: a 2024 systematic review found BV treatment may reduce PTB specifically in high-risk women — but 'high-risk' screening is difficult to operationalize in LMIC settings and the effect is from a subgroup analysis. The fundamental puzzle from the original QEA persists: BV is strongly associated with PTB but treating it doesn't prevent PTB. The original speculation (BV may be a marker for another condition or the resistant infections are the ones causing PTB) remains unresolved. No pathway to GW-fundable intervention."
Striga control,2017,~3–4x (writeup rough estimate; BOTEC gives ~0.5x over 10 years),No direct evidence on program effectiveness (only controlled research plots); cost-effectiveness uncertain; agriculture/income pathway not GW's core focus,L,~0.5–2x (no material change),L,"An agriculture/income intervention to control parasitic striga weed on maize in SSA. The IITA ISMA evaluation (Nigeria) showed 55% adoption and 46.8% higher income for participants but this is non-randomized (selection bias likely). Push-pull technology has scaled to ~350k farmers across 18 countries by 2024 (icipe) but remains tiny vs ~100M affected. Striga-resistant maize breeding has progressed (3.4-3.7% annual yield gains in trials) but farm-level adoption remains low. Still no RCTs on program-level effectiveness. Even optimistic 10-year benefit assumptions yield CE well below 8x: the $36/farmer cost and $22.76/year yield gain translate to ~0.5x GD in the BOTEC. The writeup's 3-4x claim was a rough judgment call not derivable from the BOTEC. Fundamentally limited by the income-to-UoV conversion — no mortality channel. Not worth revisiting."
Delivering a pulse oximeter + safe surgery checklist training,2017,No BOTEC (program deemed not evidence-backed),No RCT evidence for mortality reduction from pulse oximeters (Cochrane review); safe surgery checklist evidence weak (before-and-after studies; Ontario natural experiment found no effect),L,Possibly favorable ($115/DALY) but based on unverified 10% mortality assumption,L,"The fundamental evidence gap from the 2017 QEA has not been closed. Cochrane review finding (no evidence pulse oximeters reduce mortality/morbidity in surgery) remains unchanged. WHO Safe Surgery Checklist evidence has improved somewhat: a stepped-wedge cluster RCT found reduced complications and hospital stay; South Carolina DiD analysis (3 years) found 22% mortality reduction; meta-analyses report 44% complication reduction and 23% mortality decrease. But no LMIC RCT on mortality for either intervention. The Lancet Global Health Oxygen Commission (2025) found child deaths fell 25% with pulse oximetry + oxygen but this is for pneumonia management broadly — not surgical pulse oximetry specifically. A 2014 cost-effectiveness analysis found $115/DALY averted for hand-held oximeters but this assumed 10% of anaesthesia-related deaths prevented — an assumption not backed by experimental evidence. Lifebox has distributed 35k oximeters since 2011. Strong expert consensus supports the intervention but GW's framework requires stronger causal evidence. Surgical safety is not GW's typical domain. Not worth revisiting."
Sayana Press injectable contraceptive,2016,~$88700/death averted (mortality channel); main benefit was avoided unwanted pregnancies (~$269 each) and avoided unsafe abortion complications (~$1224 each),Mortality channel weak; CE depended on unresolved moral weight for avoided unwanted pregnancies; self-injection not yet approved,M,~13x at $12/woman-year (range ~7x at $20 to ~35x at $6),M,"GiveWell published a contraception valuation framework (April 2025): 0.7 UoV per woman-year of modern contraception (range 0.3-1.1). This directly resolves the moral weight blocker from the 2016 QEA. Self-injection is now approved in 35+ countries and available in 55+ countries. Meta-analysis of 3 RCTs: self-injection increases 12-month continuation by 27% (RR 1.27 95% CI 1.16-1.39). Uganda cohort: 81% vs 65% at 12 months. Phase 3 trial confirms effectiveness at 4-month intervals (99% efficacy). Using GW's valuation at $12/year (commodity $4 + delivery $8): ~13x. Even at $20/year: ~7x — near bar. At $6/year (lean self-injection): ~35x. Cost per woman-year is the pivotal unknown. GW is actively investigating family planning (FEM grant $500k podcast episode on family planning). Commodity cost locked at $1/dose via Pfizer/Gates/CIFF agreement. See writeup."
Safe abortion (medical abortion provision),2017,3–10x (very uncertain; DCP-3 estimated ~$8k/maternal life saved),Uncertain additionality (do programs replace unsafe abortions or displace other safe options?); unresolved GW moral weight for safe abortion; low mortality case fatality rate (~0.3-0.5%),L,~3–10x (evidence base strengthened but GW-internal blockers unchanged),L,"Evidence base for medical abortion has strengthened materially. WHO 2022 guidelines now recommend self-management of medical abortion and telemedicine delivery for the first time — a significant shift that addresses the original concern about women not having access to health facilities. Multiple LMIC studies show 89-95% complete abortion with self-managed mifepristone+misoprostol. PSI reached ~859k women in 2018. Drug quality is a concern (55% of LMIC samples non-compliant in multi-country study). But the GW-specific blockers from the original QEA have not changed: (1) GW has not resolved the moral weight for safe abortion provision (staff estimates in 2017 ranged from 1/30 to 1/1 of an infant death averted); (2) no program-level evidence on additionality (whether programs increase safe abortions vs. displacing other safe access); (3) mortality channel is narrow (unsafe abortion CFR ~0.3-0.5% even in SSA — morbidity at 33% complication rate is the main benefit but GW weights mortality more heavily). CE could plausibly clear 8x in favorable scenarios (low-cost SSA settings with high additionality) but depends on methodological choices GW hasn't made. Massive RFMF (~25M unsafe abortions/year globally). Not worth revisiting unless GW resolves its moral weight framework for safe abortion."
Case finding and early treatment for leprosy,2017,0.2–6.9x (most probability mass at lower end),Limited evidence on benefits of early detection; most BOTEC parameters were guesses; small global DALY burden (~30k DALYs/year); no mortality,L,~1–3x (no material change),L,"Leprosy remains essentially a morbidity-only disease with near-zero mortality and tiny global DALY burden (~30k DALYs/year). GBD 2021 shows continued decline (ASR 0.58→0.25/100k). Key new development is WHO-recommended SDR-PEP (single-dose rifampicin post-exposure prophylaxis): the PEOPLE cluster-RCT (Lancet Global Health 2024) found individual-level IRR 0.55 (p=0.005) and the LPEP programme demonstrated feasibility in 7 countries (150k+ contacts treated). But SDR-PEP shifts the intervention from case detection to prevention — and even optimistic SDR-PEP scenarios yield only ~1–3x cash transfers because there are no deaths to avert and disability weights are low (0.152 for severe impairment). LepVax (first leprosy-specific vaccine) entered Phase 1b in Brazil (Oct 2024) but is too early to affect CE. Novartis continues donating MDT drugs. Original BOTEC had #REF! errors and most parameters remain unresolvable guesses. Not worth revisiting — fundamental CE arithmetic unchanged."
Multi-micronutrient supplementation (MMS) during pregnancy,2021,~7x (range 2-14x),Costs highly uncertain; moral weight for averting LBW (3 UoV) was a rough guess; WHO recommended MMS only "in context of rigorous research",M,~9x at $3/pregnancy (range ~5x at $6 to ~13x at $2),L,"WHO included UNIMMAP MMS on Essential Medicines List (2021) and upgraded recommendation to 'in context of rigorous research' (2020). Kirk Humanitarian committed $125M and reached 75M pregnant women in 111 LMICs at $0.0118/dose ($2.13/pregnancy). 2025 meta-analyses confirm benefits extend beyond birth: stunting reduced (RR 0.86) and underweight reduced (RR 0.86) through 24 months. Copenhagen Consensus 2023 named MMS one of 12 best investments ($37 return per $1). CE improvement driven primarily by reduced commodity costs ($3/pregnancy vs original $4). Key uncertainties: incremental programmatic costs of IFA→MMS transition and MW for LBW (3 UoV is still a rough guess). See writeup."
Large scale school feeding programs,2022,~2-3x (preschool ~2.6x; school ~2.5x),Not cost-effective (~2-3x cash); ~$41/beneficiary/year cost is ~83x higher than deworming; uncertain long-term effects of weight gain on adult income,L,~2-3x (no material change; possibly higher with long-term income evidence but offset by higher costs and reduced RFMF),M,"2025 Cochrane review (40 studies 91885 students) confirms 'modest but real' effects on weight enrollment and math. New long-term evidence from China (2024) finds +12.4% adult wages from school feeding — but this is from a middle-income country with uncertain external validity to SSA. Sweden study (2022) finds +3% lifetime income. However costs appear higher than the $41/beneficiary the original assumed: CGDev 2023 survey finds $110/child/year in low-income countries for 200 meal days. Space is massively government-funded ($84B/year 99% from domestic budgets). 107 countries now have national school meals policies (up from 56 in 2020). 466M children globally receive school meals. GiveWell has not publicly investigated school feeding. Even if long-term income effects are larger than originally modeled the higher costs and near-zero marginal philanthropic impact (given dominant government funding) make this unpromising for GW. Room for more funding is minimal."
Community salt substitution,2020,0.9-1.9x (across three cost scenarios),Small effect size (~1.2 mmHg systolic BP reduction); entire population needs continuous treatment; effect modeled indirectly via BP-to-outcome relationship,L,~2-4x (updated with SSaSS hard endpoint data but offset by lower moral weight for elderly CVD deaths),M,"The SSaSS trial (NEJM 2021 n=20995 600 villages rural China) found 14% stroke reduction (RR 0.86) 13% MACE reduction (RR 0.87) and 12% all-cause mortality reduction (RR 0.88) — hard clinical endpoints far exceeding what the original BP-based indirect modeling predicted. WHO published first-ever guideline recommending salt substitution (Jan 2025 conditional recommendation). 2024 meta-analysis (Annals of Internal Medicine 16 RCTs 27710 participants): all-cause mortality RR 0.88. SSaSS within-trial CEA found salt substitution was DOMINANT (cost-saving) from health system perspective. Indonesia modeling: cost-saving with 200k+ deaths averted over 10 years. Despite these impressive results CE by GW standards likely only rises to ~2-4x because: (1) CVD deaths are mainly in elderly — the original BOTEC used MW=54.8 but didn't age-adjust and most beneficiaries are 60+ with lower remaining life years; (2) SSaSS population was high-risk (73% prior stroke 88% hypertensive) — general population effects are smaller; (3) Bloomberg/Resolve to Save Lives spending $215M on sodium reduction already. Most evidence from China/Taiwan; generalizability to SSA limited. No organization implementing community salt substitution at scale in LMICs outside trial settings."
WASH interventions to decrease hospital acquired infections,2021,Up to 4x best guess (8-11x under optimistic cost assumptions),Weak evidence (no impact evaluation of BASICS or closely related interventions); high complexity (behavioral intervention requiring sustained supply of cleaning products); uncertain costs per birth,L,~4x (unchanged; APT-Sepsis trial is encouraging but covers broader intervention than WASH alone),M,"APT-Sepsis trial (NEJM 2025 59 facilities Malawi/Uganda 431394 births) found 32% reduction in severe maternal infection outcomes (RR 0.68) — the strongest LMIC evidence to date. However APT-Sepsis is a broad IPC intervention (hand hygiene + antibiotics + sepsis detection + treatment bundle) not just WASH/cleaning. Zambia neonatal IPC bundle (pre-post) found hospital mortality fell from 23.6% to 18.0%. WHO 2024 IPC report estimates 3.5M patients could die from HAIs annually; IPC could avert 821k deaths by 2050. WaterAid 2024: 2.6M HAIs and 275k deaths in 7 SSA countries costing $8.4B/year. But BASICS still has no published impact evaluation — the original QEA's central concern persists. WASH FIT (main WHO tool) implemented in 53+ countries with billions invested but has no rigorous evaluation. Systematic review of neonatal HAI prevention found no studies in low-income countries. Cost per facility ($25k setup + $10k/year) not updated. Policy momentum strong (UN GA resolution 2023; 101 countries reporting) but no clear philanthropic funding opportunity. Even applying the APT-Sepsis effect size (32% vs original 16%) to the BOTEC only raises CE to ~7.6x in high-NNM countries — still below 8x bar."
